为了,"['for', 'for the sake of']","['prep.', 'misc.']"
打印,"['stamp', 'print', 'put a seal on']","['n.', 'vt.', 'misc.']"
译稿,['manuscript of a translation'],['manuscript of a translation\n']
及,"['reach', 'and', 'in time for']","['vi.', 'conj.', 'misc.']"
电子,['electronic engineering'],['electronic engineering\n']
文档,['document'],['n.']
各,"['each', 'apiece']","['adj.', 'adv.']"
一份,['a part'],['a part\n ;\n']
基尔,['Kiel'],['n.']
大学,"['university', 'collegial']","['n.', 'adj.']"
以,"['use', 'because of', 'according to']","['n.', 'adv.', 'misc.']"
其,"['he', 'its', 'such']","['n.', 'pron.', 'adj.']"
令人兴奋,['exciting'],['adj.']
方式,['way；mode；manner；pattern'],['way；mode；manner；pattern\n']
高等教育,['higher education'],['higher education\n']
美丽,['beauty'],['n.']
校园,['campus'],['n.']
强大,"['mightiness', 'powerful']","['n.', 'adj.']"
社区,['community'],['n.']
精神,['spirit'],['n.']
优秀学生,['elite student'],['elite student\n ;\n']
生活,"['life', 'exist', 'live']","['n.', 'vi.', 'adj.']"
这些,['these'],['pron.']
中药,['traditional Chinese medicine'],['traditional Chinese medicine\n']
就,['at once'],['at once\n ;\n']
有,"['adsum', 'be', 'exist', 'have']","['int.', 'prep.', 'vi.', 'vt.']"
生长,"['grow', 'germinate']","['vi.', 'vt.']"
于,['at'],['prep.']
云南,['Yunnan'],['n.']
贵州,['Guizhou (Province)'],['Guizhou (Province)\n']
茯苓,"['tuckahoe', 'Poria cocos']","['n.', 'misc.']"
或者,"['or', 'maybe']","['conj.', 'adv.']"
是因为,['attributed to'],['attributed to\n ;\n']
你,"['you', 'ye']","['pron.', 'abbr.']"
愿意,['be willing to'],['be willing to\n']
花费,['expenditure'],['n.']
无数,['myriad'],['adj.']
夜晚,['night'],['n.']
安慰,['comfort'],['n.']
答案,['answer'],['n.']
将会,"['will', 'should', 'be going to']","['n.', 'aux.', 'misc.']"
节目,['program'],['vt.']
揭晓,"['announce', 'announce the results']","['vt.', 'misc.']"
到,"['go to', 'arrive', 'get to']","['v.', 'vi.', 'misc.']"
时,"['time', 'current', 'sometimes']","['n.', 'adj.', 'adv.']"
我们,['we'],['pron.']
再,"['again', 'once more']","['adv.', 'misc.']"
看,['look'],['vt.']
有没有,['Did you...?'],['Did you...?\n ;\n']
答对,"[""answer sb.'s question""]","[""answer sb.'s question\n ;\n""]"
当,"['bear', 'when', 'equal', 'manage']","['vi.', 'conj.', 'adj.', 'vt.']"
站,['stand'],['vi.']
水平,['level'],['n.']
地面,['ground'],['n.']
后足,"['metapodium', 'metapedes']","['n.', 'misc.']"
爪,['claw'],['n.']
位于,['locate'],['vt.']
身躯,['body'],['n.']
后方,['rear'],['adj.']
不,['no'],['adv.']
正下方,['underface'],['underface\n']
从,"['from', 'yielding', 'follow', 'through']","['prep.', 'adj.', 'vt.', 'adv.']"
脚垫,['foot pad'],['foot pad\n ;\n']
垂直于,['perpendicular to'],['perpendicular to\n']
所以,"['so', 'therefore', 'as a result']","['conj.', 'adv.', 'misc.']"
到底,['on earth'],['on earth\n']
谁,"['quivive', 'who']","['int.', 'pron.']"
赢,['win'],['vt.']
阿拉斯加,['Alaska'],['n.']
不算数,"[""It doesn't count.""]","[""It doesn't count.\n""]"
那,"['that', 'the']","['pron.', 'art.']"
你们,['you'],['pron.']
俄罗斯,['Russia'],['n.']
买,"['purchase', 'buy']","['n.', 'vt.']"
一个,"['singleton', 'one', 'an']","['n.', 'pron.', 'art.']"
特别,['particularly'],['adv.']
寒冷,"['chill', 'cold']","['n.', 'adj.']"
冬天,['winter'],['adj.']
住,"['cease', 'reside']","['vi.', 'vt.']"
明尼阿波利斯,['Minneapolis'],['n.']
市,['city'],['n.']
夫妇,"['couple', 'husband and wife']","['n.', 'misc.']"
决定,['decision'],['decision\n ;\n']
弗罗,['Fraut'],['n.']
里,"['inside', 'li (500 meters)']","['n.', 'misc.']"
达,"['reach', 'express']","['vi.', 'vt.']"
避寒,['go to a winter resort'],['go to a winter resort\n ;\n']
热爱,"['devotion', 'love', 'ardently love']","['n.', 'vt.', 'misc.']"
温暖,['warmth'],['n.']
毛,"['fur', 'gross']","['n.', 'adj.']"
袜子,['stockings'],['n.']
冰冻,"['frost', 'frozen', 'freeze, freezing']","['n.', 'adj.', 'misc.']"
柠檬汁,"['royal fizz', 'lemon juice']","['n.', 'misc.']"
邓,"['Deng, a state in the Zhou Dynasty']","['Deng, a state in the Zhou Dynasty\n ;\n']"
布利,['Blee'],['n.']
多,"['much', 'many', 'more']","['n.', 'pron.', 'adv.']"
变,"['transfer', 'change']","['n.', 'vt.']"
出,['come'],['vi.']
柔软,['soft'],['adj.']
舒适,['comfort'],['n.']
家具,['furniture'],['furniture\n']
要,"['important', 'demand', 'ask for']","['adj.', 'vt.', 'misc.']"
成功,"['prosperity', 'succeed', 'come through']","['n.', 'vi.', 'misc.']"
拿到,"['get', 'get hold of']","['vt.', 'misc.']"
博士学位,['doctorate'],['n.']
必须,['must'],['aux.']
真正,"['true', 'indeed']","['adj.', 'adv.']"
扩展,"['extension', 'extend']","['n.', 'vt.']"
人类,"['mankind', 'human']","['n.', 'adj.']"
知识,['knowledge'],['n.']
边界,['boundary'],['n.']
说,"['theory', 'speak', 'persuade']","['n.', 'vi.', 'vt.']"
巴里,"['Barry', 'Barrie']","['n.', 'misc.']"
由于,"['because of', 'on account of']","['adv.', 'misc.']"
涉及,"['involve', 'refer to']","['vt.', 'misc.']"
毒品,"['narcotics', 'poison', 'hard drug']","['n.', 'vt.', 'misc.']"
而,"['when', 'moreover', 'and that']","['conj.', 'adv.', 'misc.']"
被,"['by', 'quilt', 'to cover']","['prep.', 'n.', 'misc.']"
关进,"['shut-in', 'shut']","['adj.', 'vt.']"
监狱,['jail'],['n.']
这,"['this', 'now']","['pron.', 'adv.']"
以前,['before'],['adv.']
华盛顿,['Washington'],['n.']
担任,['hold the post of'],['hold the post of\n']
市长,['mayor'],['n.']
逐步,"['Grad.', 'step by step']","['abbr.', 'adv.']"
淘汰,['weed out'],['weed out\n']
社会保障,['social insurance'],['social insurance\n ;\n']
并,"['and', 'combine', 'equally']","['conj.', 'vt.', 'adv.']"
不起作用,"['malfunction', 'cut no ice']","['vi.', 'misc.']"
而且,['and that'],['and that\n']
使,"['use', 'make']","['n.', 'vt.']"
国家,['state'],['n.']
破产,['go broke'],['go broke\n ;\n']
剧中,['in the movie'],['in the movie\n ;\n']
哈里,['Harry'],['n.']
丹尼尔,['Daniel'],['n.']
拉德,['rad'],['n.']
克里夫,['Krief'],['n.']
对,"['counter', 'right', 'face']","['n.', 'adj.', 'vt.']"
当天,['the same day'],['the same day\n ;\n']
出席,['be present'],['be present\n']
首映式,['n. premiere'],['n. premiere\n']
所有,"['possessions', 'all', 'own']","['n.', 'adj.', 'vt.']"
影迷,['movie fan; film fan; cinephile'],['movie fan; film fan; cinephile\n']
表示,"['expression', 'show']","['n.', 'vt.']"
感谢,"['gratitude', 'thank']","['n.', 'vt.']"
没有,"['without', 'none', 'no']","['prep.', 'pron.', 'adj.']"
什么,"['what', 'any']","['pron.', 'adj.']"
更,['even more'],['even more\n']
让,"['yield', 'give way']","['vt.', 'misc.']"
感到高兴,"['rejoiced', 'feel happy']","['vi.', 'misc.']"
看看,"['look', 'have a look']","['vt.', 'misc.']"
这边,"['here', 'this side']","['adv.', 'misc.']"
杯,['cup'],['n.']
垫,['pad'],['n.']
两队,['two teams'],['two teams\n']
不分胜负,"['tie', 'draw', 'come out even']","['vi.', 'vt.', 'misc.']"
持续,"['continue', 'sustain']","['vi.', 'vt.']"
很长,['fairly long'],['fairly long\n']
一段时间,['spell'],['n.']
隐藏,"['conceal', 'remain under cover']","['vt.', 'misc.']"
内容,['content'],['n.']
需要,"['need', 'want']","['n.', 'vt.']"
回复,"['reply', 'restore', 'write back']","['vi.', 'vt.', 'misc.']"
才,"['ability', 'capable person']","['n.', 'misc.']"
浏览,"['browse', 'glance over']","['vt.', 'misc.']"
作为,['deed'],['n.']
独立,"['independence', 'independent', ""on one's own""]","['n.', 'adj.', 'adv.']"
立体声,"['stereo', 'stereophonic']","['n.', 'adj.']"
编码器,['encoder'],['n.']
富勒,['Fuller'],['n.']
由,"['by', 'reason', 'due to']","['prep.', 'n.', 'adv.']"
美国,"['America', 'the United States']","['n.', 'misc.']"
加拿大,"['Canada', 'Canadian']","['n.', 'adj.']"
神学院,"['seminary', 'divinity school']","['n.', 'misc.']"
联盟,['alliance'],['alliance\n ;\n']
授权,"['authorization', 'accredit']","['n.', 'vt.']"
家,['family'],['n.']
学院,['college'],['n.']
一员,['menber'],['menber\n']
腹板,['web'],['n.']
弯,"['curve', 'flex', 'bent', 'bend']","['n.', 'vi.', 'adj.', 'vt.']"
纯,['pure'],['adj.']
剪,"['snip', 'shear']","['n.', 'vt.']"
极限,['extremity'],['n.']
承载力,['bearing capacity'],['bearing capacity\n ;\n']
影响,"['influence', 'affect']","['n.', 'vt.']"
则,"['be', 'rule']","['prep.', 'n.']"
可,"['need', 'but', 'may', 'approve']","['n.', 'conj.', 'aux.', 'vt.']"
不予考虑,"['dismissal', 'give short shrift']","['n.', 'misc.']"
人们,"['people', 'they']","['n.', 'pron.']"
羞于,['be ashamed of'],['be ashamed of\n ;\n']
说出,"[""take the words out of sb.'s mouth""]","[""take the words out of sb.'s mouth\n""]"
遗弃,"['throw out', 'abandon']","['v.', 'vt.']"
宠物,"['pet', ""the object of one's affections""]","['n.', 'misc.']"
原因,['cause'],['n.']
协会,['association'],['n.']
陪伴,['accompany'],['vt.']
动物,['animal'],['animal\n']
协调,['coordinate'],['vi.']
主管,['be in charge of'],['be in charge of\n']
伊莉莎白,['Elizabeth'],['n.']
火星,"['Mars', 'flake']","['n.', 'vi.']"
本,"['capital', 'this']","['n.', 'adj.']"
教程,['course'],['n.']
获得,"['acquisition', 'obtain', 'acquire']","['n.', 'vi.', 'vt.']"
击中,['hit'],['vt.']
太空,['outer space'],['n.']
漫游,"['roam', 'wander']","['vi.', 'vt.']"
一块,['a piece of'],['a piece of\n']
完整,"['integrity', 'full']","['n.', 'adj.']"
二维,['two-dimension'],['two-dimension\n']
显示,"['display', 'show']","['n.', 'vt.']"
关于,['in regard to'],['in regard to\n ;\n']
主题,"['theme', 'topical subject']","['n.', 'misc.']"
文章,['article'],['n.']
昨天,['yesterday'],['n.']
艾滋病,"['Aids', 'Acquired Immune Deficiency Syndrome']","['abbr.', 'misc.']"
夫妻,['man and wife'],['man and wife\n']
个,"['Entries', 'individual']","['n.', 'adj.']"
大,['big'],['adj.']
女儿,['daughter'],['n.']
抗体,['antibody'],['n.']
检测,['detection'],['n.']
结果,['result'],['n.']
报告单,['report'],['n.']
首尔,['Seoul'],['n.']
水下,"['undersea', 'underwater']","['adj.', 'adv.']"
韩服,['hanbok'],['hanbok\n']
穿着,['be dressed in'],['be dressed in\n']
古装,['ancient costume'],['ancient costume\n']
模特,['model'],['n.']
水箱,"['cistern', 'water tank']","['n.', 'misc.']"
内,"['within', 'inside', 'inner', ""one's wife or her relatives""]","['prep.', 'n.', 'adj.', 'misc.']"
表演,"['performance', 'perform']","['n.', 'vi.']"
着,"['device', 'burn', 'a move in chess']","['n.', 'vt.', 'misc.']"
韩国,"['Korea', 'Republic of Korea']","['n.', 'misc.']"
有些,['some'],['adj.']
伤,"['injury', 'hurt', 'be distressed']","['n.', 'vt.', 'misc.']"
没,"['absence', 'disappear', 'no']","['n.', 'vi.', 'adj.']"
发现,"['discovery', 'discover']","['n.', 'vt.']"
时候,['(the duration of) time'],['(the duration of) time\n']
疼,"['pain', 'ache']","['n.', 'vi.']"
等,"['rank', 'wait']","['n.', 'vt.']"
一,"['one', 'single', 'once']","['pron.', 'adj.', 'adv.']"
注意,"['attention', 'pay attention to']","['n.', 'misc.']"
开始,"['initiation', 'begin']","['n.', 'vt.']"
隐隐,['faint'],['adj.']
首先,"['first', 'in the first place']","['adv.', 'misc.']"
正义,['justice'],['n.']
可能,"['possible', 'be likely to']","['adj.', 'misc.']"
同一,['same'],['adj.']
语言,['language'],['n.']
即,"['be', 'reach', 'mean', 'be near']","['prep.', 'vi.', 'adj.', 'misc.']"
已,"['end', 'stop', 'already']","['n.', 'vt.', 'adv.']"
出现,['appear'],['vi.']
各种,"['sundry', 'all kinds of']","['adj.', 'misc.']"
不同,"['imparity', 'different']","['n.', 'adj.']"
解释,"['interpretation', 'explain', 'decipher', 'account for']","['n.', 'v.', 'vt.', 'misc.']"
亦,"['also', 'a surname']","['adv.', 'misc.']"
同样,"['same', 'equal', 'as well']","['pron.', 'adj.', 'misc.']"
者,['this'],['pron.']
都,"['capital', 'all', 'already', 'just because of']","['n.', 'adj.', 'adv.', 'misc.']"
内涵,['connotation'],['n.']
认定,"['affirm', 'firmly believe']","['vt.', 'misc.']"
标准版,['standard edition'],['standard edition\n']
针对,"['counter', 'aim at', 'contrapose', 'in allusion to']","['n.', 'v.', 'vt.', 'misc.']"
数据,['data'],['n.']
缓存,"['cache', 'buffer memory']","['n.', 'misc.']"
共享,['share'],['vi.']
集群,['colony'],['n.']
小规模,['small-scale'],['adj.']
应用,"['use', 'apply', 'put into use']","['n.', 'vt.', 'misc.']"
客户,"['client', 'client server']","['n.', 'misc.']"
意思,"['idea', 'meaning']","['n.', 'v.']"
远期,"['forward', 'at a specified future date']","['adj.', 'misc.']"
信用证,"['letter of credit', 'LC']","['n.', 'abbr.']"
吗,['what'],['pron.']
符合,['accord with'],['accord with\n ;\n']
规定,"['stipulation', 'stipulate']","['n.', 'vi.']"
银行利息,['bank interest'],['bank interest\n']
买方,['purchaser'],['n.']
负责,['be responsible for'],['be responsible for\n ;\n']
对模型,['pair model'],['pair model\n']
参数,['parameter'],['n.']
校正,"['correction', 'check', 'revise']","['n.', 'vi.', 'vt.']"
核实,"['check', 'verify']","['vi.', 'vt.']"
模型,['model（作为商品类名时使用复数）'],['model（作为商品类名时使用复数）\n']
适应,"['orientation', 'adapt', 'acclimatize oneself to']","['n.', 'vt.', 'misc.']"
类型,"['type', 'mold']","['n.', 'vt.']"
品种,"['variety', 'var.']","['n.', 'abbr.']"
形态,['form'],['n.']
发生,"['happen', 'take place']","['vi.', 'misc.']"
动态,['dynamic condition'],['dynamic condition\n ;\n']
浓度,['concentration'],['n.']
浊度,['turbidity'],['n.']
达到,"['reach', 'attain']","['vi.', 'vt.']"
国家一级,['country-level'],['country-level\n']
排放,"['let out', 'discharge', 'let']","['v.', 'vi.', 'vt.']"
标准,['standard'],['n.']
整个,['total'],['adj.']
钢,['steel'],['n.']
网架,['net rack'],['net rack\n ;\n']
吨位,"['tonnage', 'shipping ton']","['n.', 'misc.']"
重,"['repeat; once more; layer; a surname; weight; layplace, put] stress on; place value upon; attach importance to heavy; weighty; deep; serious']","['repeat; once more; layer; a surname; weight; layplace, put] stress on; place value upon; attach importance to heavy; weighty; deep; serious\n ;\n']"
跨度,"['span', 'fly-past']","['n.', 'misc.']"
加工,"['machine', 'process']","['n.', 'vt.']"
制作,"['fabrication', 'make']","['n.', 'vt.']"
精度,['precision'],['n.']
方面,['aspect'],['n.']
要求,"['claim', 'require', 'ask for']","['vi.', 'vt.', 'misc.']"
非常,['very'],['adv.']
严格,"['strictness', 'stringent']","['n.', 'adj.']"
比如,['such as'],['such as\n ;\n']
日本,"['Japan', 'Japanese', 'cipango']","['n.', 'adj.', 'misc.']"
传统,['tradition'],['tradition\n']
汤,['soup'],['soup\n']
洗澡,['take a bath'],['take a bath\n ;\n']
堂,['hall'],['hall\n']
男女,['men and women'],['men and women\n']
地方,['place'],['n.']
至今,"['hitherto', 'so far']","['adv.', 'misc.']"
如此,"['such', 'so']","['adj.', 'adv.']"
准备,"['setout', 'prepare', 'draw up']","['n.', 'vt.', 'misc.']"
外国人,['foreigner'],['n.']
面红耳赤,['flush with shame'],['flush with shame\n ;\n']
二战,['WWII(Second World War)'],['WWII(Second World War)\n']
经久不衰,['enduring'],['adj.']
因为,"['because', 'on account of']","['conj.', 'misc.']"
战胜,['defeat'],['vt.']
一方,['a party'],['a party\n ;\n']
子孙后代,['descendants'],['n.']
永远,['always'],['adv.']
铭记,"['remember', ""engrave on one's mind""]","['vt.', 'misc.']"
战争,['war'],['n.']
宫颈,['cervix uteri'],['cervix uteri\n ;\n']
刮片,"['doctor', 'doctor-bar']","['n.', 'misc.']"
检查,"['inspection', 'examine']","['n.', 'vt.']"
两组,['two sets'],['two sets\n']
均,"['all', 'without exception']","['adj.', 'misc.']"
未查,['unidentified'],['unidentified\n']
见,"['view', 'appear', 'see', 'catch sight of']","['n.', 'vi.', 'vt.', 'misc.']"
可疑,['suspicious'],['adj.']
癌细胞,['cancer cell'],['cancer cell\n']
或,['or'],['conj.']
咱们,['we'],['pron.']
价钱,['price'],['n.']
海运,['sea transportation'],['sea transportation\n']
为,"['by', 'become', 'act as']","['prep.', 'vi.', 'misc.']"
根基,"['foundation', 'radical', 'rhizel']","['n.', 'adj.', 'misc.']"
因此,['hence'],['adv.']
因,"['cause', 'because', 'due to', 'thanks to']","['n.', 'conj.', 'adv.', 'misc.']"
货品,['kinds or types of goods'],['kinds or types of goods\n ;\n']
邮包,['parcel'],['n.']
形式,['form'],['n.']
寄发,['despatch'],['vt.']
分外,['particularly'],['adv.']
花销,"['expense', 'cost']","['n.', 'vt.']"
买户,['buyer'],['buyer\n']
承担,"['bear', 'assume']","['vi.', 'vt.']"
亮点,"['lightspot', 'bright spot']","['n.', 'misc.']"
中国,['China'],['n.']
安平,['a surname'],['a surname\n']
国际,['international'],['n.']
丝网,['silk screen'],['silk screen\n ;\n']
博览会,"['expo', 'fair']","['n.', 'adj.']"
产业基地,['industrial base'],['industrial base\n']
世界,['world'],['n.']
经济,['economics'],['economics\n']
发展,"['progress', 'blossom', 'develop']","['n.', 'vi.', 'vt.']"
资源,['resource'],['n.']
环境,['environment'],['environment\n ;\n']
矛盾,['contradiction'],['n.']
日益,"['increasingly', 'day by day']","['adv.', 'misc.']"
尖锐,"['edge', 'intense']","['n.', 'adj.']"
情况,['condition'],['n.']
改变,['alter'],['vt.']
然而,"['but', 'nevertheless']","['conj.', 'adv.']"
敢,"['bold', 'dare', 'be certain']","['adj.', 'vt.', 'misc.']"
能,"['energy', 'be able to', 'can', 'be capable to']","['n.', 'v.', 'aux.', 'misc.']"
此地,"['here', 'this place']","['adv.', 'misc.']"
然后,"['afterwards', 'after that']","['adv.', 'misc.']"
金属,['metal'],['n.']
退火,"['annealing', 'anneal']","['n.', 'vt.']"
原理,['theory'],['n.']
类似,"['analogy', 'analogous']","['n.', 'adj.']"
阶段,['stage'],['n.']
更快,"['faster', 'piu Allegro']","['adj.', 'misc.']"
地,['land'],['n.']
最小化,"['minimum', 'minimize']","['n.', 'vi.']"
学习,"['study', 'learn']","['n.', 'vt.']"
温度,"['temperature', 'T']","['n.', 'symb.']"
很,['quite'],['adv.']
高,"['tall', 'above the average']","['adj.', 'misc.']"
慢慢,"['leisurely', 'slowly']","['adj.', 'adv.']"
降温,"['hypothermia', 'cooling', 'hypothermy']","['n.', 'adj.', 'misc.']"
以求,['in order to'],['in order to\n ;\n']
稳定,"['stabilization', 'stabilize']","['n.', 'vi.']"
近年来,['in recent years'],['in recent years\n ;\n']
随着,"['with', 'following', 'along with']","['prep.', 'adj.', 'misc.']"
机动车,['motor vehicles'],['motor vehicles\n']
数量,"['quantity', 'count']","['n.', 'vt.']"
急剧,['rapid'],['adj.']
增长,"['increase', 'rise']","['n.', 'vi.']"
国内,['inland'],['adj.']
许多,"['much', 'many', 'numerous', 'a large amount of']","['n.', 'pron.', 'adj.', 'misc.']"
城市,['city'],['n.']
停车难,['hard to find a parking place'],['hard to find a parking place\n ;\n']
问题,"['issue', 'problem']","['n.', 'adj.']"
越来越,"['increasingly', 'more and more']","['adv.', 'misc.']"
突出,"['extrude', 'stand out']","['vt.', 'misc.']"
自动化,"['automation', 'automate']","['n.', 'vt.']"
立体车库,['stereo garage'],['stereo garage\n']
解决,"['resolve', 'solve', 'work out']","['vi.', 'vt.', 'misc.']"
好,"['good', 'well', 'all right']","['adj.', 'adv.', 'misc.']"
方案,"['scheme', 'project']","['n.', 'vi.']"
名字,['name'],['n.']
李,"['plum', 'Prunus salicina Lindl']","['n.', 'misc.']"
今年,['this year'],['this year\n']
岁,"['annum', 'years of age']","['n.', 'misc.']"
爱好,"['hobby', 'be fond of']","['n.', 'misc.']"
电影,['film'],['n.']
打篮球,['play basketball'],['play basketball\n']
溜,"['slide', 'slip', 'smooth', 'sneak off']","['n.', 'vi.', 'adj.', 'misc.']"
旱冰,['roller skating'],['roller skating\n']
跳水,['diving'],['diving\n']
打,"['dozen', 'fight', 'hit']","['n.', 'vi.', 'vt.']"
保龄,['bowling（保龄球，在木板道上滚球击柱的一种室内运动）'],['bowling（保龄球，在木板道上滚球击柱的一种室内运动）\n']
听歌,['listen to music'],['listen to music\n ;\n']
狗,['dog'],['n.']
宝石,"['gem', 'precious stone']","['n.', 'misc.']"
一起,"['together', 'along with']","['adv.', 'misc.']"
公园,['park'],['park\n']
散步,"['walk', 'go for a walk', 'stroll', 'take a walk']","['n.', 'v.', 'vi.', 'misc.']"
那里,"['yon', 'over there', 'that place']","['adj.', 'adv.', 'misc.']"
做生意,"['deal', 'deal with']","['vi.', 'misc.']"
几年,['a few years'],['a few years\n ;\n']
赚,"['EARN', 'make a profit']","['vt.', 'misc.']"
钱,['money'],['n.']
根据,"['reason', 'in line （accordance） with']","['n.', 'misc.']"
锚杆,['rock bolt'],['rock bolt\n ;\n']
